Smiles,MinEnergy,OptTime
BCC,-2.84387,0.0235929
C,1.40023e-311,2.02369e-320
C12C3C4C1C5C2C3C45,37572.1,INF
C1=C2C=CC3=C4C2=C5C(C=CC6=CC=C7C=CC(C=C3)=C4C7=C56)=C1,211.519,42.8976
C1=C2C=CC3=CC=C4C=CC5=CC=C6C=CC(C7=C2C3=C4C5=C67)=C1,41662.3,149.311
C1=CC2=C(C3=C(C4=CC=CC=C24)C=CC=C3)C=C1,72.7903,13.6296
C1=CC2=C(C3=C(C=C2)C=CC4=C3C5=C(C=CC6=C5C=CC=C6)C=C4)C=C1,149.181,61.6532
C1=CC2=C(C3=C(C=CC4=C3C5=C(C=C4)C=CC6=C5C=CC=C6)C=C2)C=C1,138.394,54.1751
C1=CC2=C(C=C3C=CC=CC3=C2)C=C1,72.9797,INF
C1=CC2=C(C=CC=C2)C=C1,27.6694,1.65209
C1=CC2=C3C(C=CC4=CC5=C6C(C=CC(C6=C34)=C2)=CC=C5)=C1,152.06,INF
C1=CC2=C3C4=C1C=CC5=C4C6=C(C=C5)C=CC7=C6C3=C(C=C7)C=C2,99.407,10.7595
C1=CC2=C3C4=C1C=CC5=C4C6=C(C=CC7=C6C3=C(C=C7)C=C2)C=C5,100.009,9.76123
C1=CC=C(C2=CC=CC=C2)C=C1,40.1067,2.50496
C1=CC=C(N(C3=CC=CC=C3)C2=CC=CC=C2)C=C1,190.295,15.8071
C1=CC=C2(C=C1)=CC=CC=C2,216.605,13.4346
C1=CC=C2C=CC=CC2=C1,27.6694,3.42053
C1=CC=CC=C1,11.5537,0.251926
C1=CC=CC=CC=CC=C1,40.5708,INF
C1=CC=NC=C1,9.17726,0.134277
C1=CC=SC=C1,18.313,0.330727
C1C2CC3CC1CC(C2)C3,-1.62235,8.92128
C1C2CC3CC1CC(C3)C2,14.5534,9.48698
C1C=CC2=CC=CC3=C2C1=CC=C3,44.9672,INF
C1C=CCC=C1,4.65075,INF
C1CC1,0.105823,0.0313832
C1CC2CC3=C(C2C1)C=CC=C3,75.8058,4.56306
C1CC2CCC12,31.6975,0.572916
C1CC2CCC3CCC4CCC5CCC6CCC1C7=C2C3=C4C5=C67,116.46,125.936
C1CC2CCC3CCC4CCC5CCC6CCC1C7=C2C3=C4C5=C76,2757.61,62.1701
C1CC2CCC3CCC4CCC5CCC6CCC1C7=C6C5=C4C3=C27,98.1078,87.0248
C1CC2CCC3CCC4CCC5CCC6CCC1C7C2C3C4C5C76,473.411,79.8206
C1CC2CCCC3CCCC(C1)C23,28.414,21.7876
C1CCC(C2=CC=CC=C2)CC1,33.7212,3.49599
C1CCC1,11.0297,0.0594405
C1CCC2(C1)CCC2,85.3176,0.681443
C1CCC2(C1)CCCC2,33.1015,3.09574
C1CCC2=CC=CC=C2C1,18.2481,1.82149
C1CCC2CCCCC2C1,-2.08367,4.98055
C1CCCC1,9.1947,0.102898
C1CCCCC1,-5.08066,0.934549
C1CCCCCCCCC1,8.92508,INF
C1N2CN3CN1CN(C2)C3,1295.06,10.5423
C1N2CN3CN1CN(C3)C2,45.4544,4.32354
C1N2CN3CN1CN(N3)C2,1058.23,7.38876
C=C1C=CC2=CC=CC3=C2C1=CC=C3,49.3056,INF
C=CC1=CC2=C(C=CC3=C2C=CC=C3)C=C1,54.9301,INF
CC,-2.13296,0.0024104
CC(C)(C)(C)(C)C,184.355,44.4482
