Time_ms,Iteration,MinEnergy
0.3682,1,157214
15.9353,2,68.3466
29.2991,3,68.1035
42.2503,4,68.1035
64.7245,5,54.6855
84.7304,6,53.5374
105.25,7,52.4979
123.968,8,52.4979
141.277,9,52.4979
158.443,10,52.4979
175.784,11,52.4979
192.835,12,52.4979
211.362,13,52.4979
228.466,14,52.4979
245.207,15,52.4979
261.309,16,52.4979
278.345,17,52.4979
294.526,18,52.4979
309.429,19,52.4979
324.393,20,52.4979
339.309,21,52.4979
356.215,22,52.4979
375.177,23,52.4979
391.946,24,52.4979
407.789,25,52.4979
422.828,26,52.4979
437.971,27,52.4979
453.012,27,52.4979
