Time_ms,Iteration,MinEnergy
4.7875,1,5.0444e+06
240.662,2,2774.23
488.778,3,2774.23
1085.25,4,1806.26
1569.42,5,783.577
2080.17,6,714.777
2563.5,7,638.529
3084.67,8,187.408
3577.73,9,140.866
3993.34,10,140.866
4386.51,11,140.866
4831.78,12,140.866
5364.28,13,140.866
5920.28,14,140.866
6403.74,15,140.866
6834.99,16,140.866
7318.03,17,140.866
7766.15,18,140.866
8233.29,19,140.866
8643.67,20,140.866
9026.44,21,140.866
9443.28,22,140.866
9886.07,23,140.866
10306,24,138.855
10655.7,25,138.855
10996.7,26,138.855
11332.5,27,138.855
11710.1,28,138.855
12088,29,138.855
12494.2,30,138.855
12975.5,31,138.855
13369,32,138.855
13701.1,33,138.855
14033.6,34,138.855
14373.4,35,138.855
14754.7,36,138.855
15131.5,37,138.855
15516.5,38,138.855
15888.6,39,138.855
16267.3,40,138.855
16671.1,41,138.855
17083.2,42,138.855
17509.1,43,138.855
17900,44,138.855
18327.6,44,138.855
