Time_ms,Iteration,MinEnergy
0.2126,1,9.73244e+06
23.6685,2,41159.4
48.4606,3,41159.4
81.373,4,34836.9
114.088,5,33504
145.152,6,32458.3
175.851,7,31467.9
206.205,8,30606.2
238.613,9,29879.3
269.282,10,29303.6
298.684,11,28837.6
330.414,12,28468.3
360.925,13,28222.9
390.512,14,28012.9
419.765,15,27873
449.52,16,27758.7
480.005,17,27686
509.973,18,27633.2
542.198,19,27603.7
573.713,20,27580.3
612.208,21,27562.5
641.691,22,27549.5
683.788,23,27540.9
712.16,24,27535.8
741.475,25,27532.1
766.604,26,27528.3
792.641,27,27526.8
821.783,28,27525
847.133,29,27520.3
872.083,30,27520.3
897.431,31,27520.3
921.508,32,27520.3
950.363,33,27520.3
975.064,34,27520.3
999.864,35,27520.3
1024.79,36,27520.3
1050.36,37,27520.3
1078.06,38,27520.3
1104.48,39,27520.3
1131.32,40,27520.3
1161.26,41,27520.3
1185.49,42,27520.3
1225.93,43,27520.3
1251.97,44,27520.3
1277.58,45,27520.3
1304.46,46,27520.3
1329.68,47,27520.3
1358.16,48,27520.3
1380.9,49,27520.3
1404.24,50,27520.3
1427.97,51,27520.3
1451.1,52,27520.3
1475.23,53,27520.3
1497.5,54,27520.3
1520.35,55,27520.3
1545.46,55,27520.3
