Time_ms,Iteration,MinEnergy
0.2522,1,3.03977e+06
30.5926,2,13214.5
59.3639,3,7450
86.2113,4,7450
131.659,5,2314.27
180.104,6,993.798
221.012,7,677.498
268.015,8,498.507
317.434,9,396.699
364.132,10,364.189
412.715,11,314.895
456.932,12,270.985
502.663,13,232.507
548.973,14,197.1
598.364,15,173.997
645.326,16,154.131
691.601,17,144.732
731.647,18,140.057
772.087,19,135.004
818.15,20,134.615
862.098,21,132.658
896.81,22,130.916
934.813,23,129.428
974.335,24,127.971
1010.05,25,126.935
1041.16,26,126.856
1078.39,27,126.779
1121.82,28,125.235
1158.65,29,125.235
1196.69,30,125.235
1241.33,31,125.235
1277.45,32,125.235
1315.39,33,125.235
1353.19,34,125.235
1391.26,35,125.235
1430.24,36,125.235
1471.08,37,125.235
1507.3,38,125.235
1544.48,39,125.235
1580.98,40,125.235
1615.34,41,125.235
1652.97,42,125.235
1689.15,43,125.235
1723.37,44,125.235
1748.78,45,125.235
1775.4,46,125.235
1801.1,47,125.235
1829.48,48,125.235
1859.38,49,125.235
1886.08,50,125.235
1912.83,51,125.235
1941.67,52,125.235
1969.09,52,125.235
