Time_ms,Iteration,MinEnergy
0.2993,1,28738.8
19.1351,2,879.871
38.0801,3,879.871
63.3996,4,558.411
87.8679,5,477.601
113.038,6,453.914
138.99,7,424.945
170.107,8,418.734
193.749,9,418.734
218.716,10,418.734
242.834,11,418.734
269.235,12,418.734
291.561,13,418.734
315.278,14,418.734
336.093,15,418.734
359.199,16,418.734
380.449,17,418.734
401.367,18,418.734
421.175,19,418.734
441.643,20,418.734
463.86,21,418.734
485.832,22,418.734
508.248,23,418.734
532.374,24,418.689
552.362,25,418.689
574.155,26,418.689
594.432,27,418.689
613.342,28,418.689
632.435,29,418.689
651.84,30,418.689
671.616,31,418.689
692.48,32,418.689
713.855,33,418.689
733.318,34,418.689
752.149,35,418.689
772.581,36,418.689
792.32,37,418.689
815.792,38,418.689
835.363,39,418.689
855.588,40,418.689
876.268,41,418.689
897.079,42,418.689
917.055,42,418.689
