Time_ms,Iteration,MinEnergy
0.1645,1,3.41432e+06
20.429,2,377.391
38.6121,3,116.253
56.4822,4,61.423
74.88,5,61.423
99.686,6,21.133
120.496,7,13.0107
141.74,8,11.1219
164.87,9,10.6968
187.87,10,10.5595
208.279,11,10.4789
228.516,12,10.4183
251.042,13,10.3472
273.578,14,10.2872
298.38,15,10.2321
320.68,16,10.1725
344.485,17,10.1105
368.47,18,10.0451
398.429,19,9.98566
423.399,20,9.93202
448.938,21,9.87632
471.358,22,9.81248
495.572,23,9.7627
517.368,24,9.70877
542.063,25,9.65052
562.779,26,9.59157
587.313,27,9.53164
610.654,28,9.48301
631.344,29,9.41529
649.828,30,9.36796
666.17,31,9.32738
682.89,32,9.28207
701.149,33,9.24178
723.027,34,9.20105
740.673,35,9.16613
758.787,36,9.12505
777.585,37,9.09296
800.53,38,9.06887
821.62,39,9.03889
840.854,40,9.01274
861.036,41,8.99427
881.338,42,8.96957
902.184,43,8.95206
921.653,44,8.93212
942.846,45,8.91337
961.008,46,8.89685
979.724,47,8.88461
1000.32,48,8.87276
1022.33,49,8.86199
1038.69,50,8.85318
1057.92,51,8.83883
1075.31,52,8.82985
1093.88,53,8.82135
1112.33,54,8.81413
1129.24,55,8.80314
1145.34,56,8.79466
1163.49,57,8.78835
1184.9,58,8.7829
1201.2,59,8.77844
1220.58,60,8.77483
1238.98,61,8.76894
1255.57,62,8.76729
1269.8,63,8.76383
1287.29,64,8.75822
1302.74,65,8.75571
1315.63,66,8.7551
1327.54,67,8.75063
1341.06,68,8.74749
1354.9,69,8.74445
1365.97,70,8.74375
1376.97,70,8.74375
