Time_ms,Iteration,MinEnergy
0.1017,1,4340.59
6.303,2,10.7659
16.6846,3,10.7659
23.8833,4,3.8976
32.4853,5,3.88872
39.7092,6,3.8735
47.3561,7,3.86077
54.0575,8,3.84865
60.4543,9,3.83713
66.8074,10,3.82622
72.7456,11,3.81592
79.3592,12,3.8045
85.3847,13,3.7954
91.5257,14,3.78692
98.5382,15,3.77767
104.814,16,3.77455
110.875,17,3.77138
121.733,18,3.76791
131.385,19,3.76405
137.982,20,3.76092
148.01,21,3.75726
162.085,22,3.75493
178.402,23,3.75178
183.318,24,3.74974
188.496,25,3.74645
193.899,26,3.74344
199.697,27,3.74169
204.363,28,3.73934
210.065,29,3.73618
215.68,30,3.73468
220.44,30,3.73468
