Time_ms,Iteration,MinEnergy
0.1683,1,3.38653e+06
19.2256,2,1839.76
38.7288,3,415.203
57.4379,4,414.357
76.2716,5,114.578
95.0184,6,114.578
130.806,7,114.578
165.01,8,114.578
200.25,9,114.578
233.839,10,114.578
267.763,11,114.578
297.68,12,114.578
330.506,13,114.578
363.252,14,114.578
397.276,15,114.578
431.318,16,114.578
463.758,17,114.578
496.45,18,114.578
532.609,19,114.578
566.015,20,114.578
599.726,21,114.578
632.761,22,114.578
666.136,23,114.578
700.34,24,114.578
736.023,25,114.578
769.384,26,114.578
801.568,26,114.578
