Time_ms,Iteration,MinEnergy
0.2155,1,1.85974e+07
24.0469,2,518004
46.0763,3,64334.1
74.1077,4,64334.1
107.099,5,64334.1
137.986,6,64334.1
169.783,7,64334.1
203.353,8,64334.1
233.738,9,64334.1
264.339,10,64334.1
294.448,11,64334.1
325.395,12,64334.1
359.227,13,64334.1
393.703,14,64334.1
429.553,15,64334.1
465.569,16,64334.1
503.048,17,64334.1
539.012,18,64334.1
573.341,19,64334.1
612.037,20,59115.7
643.485,21,52530.3
674.443,22,46782.2
704.764,23,42559.1
748.444,24,41067.3
777.462,25,41067.3
803.641,26,41067.3
832.993,27,41067.3
861.481,28,41067.3
886.805,29,41067.3
912.388,30,41067.3
942.574,31,41067.3
971.602,32,41067.3
1000.56,33,41067.3
1028.77,34,41067.3
1059.62,35,41067.3
1086.86,36,41067.3
1118.97,37,41067.3
1150.52,38,41067.3
1180.77,39,41067.3
1211.23,40,41067.3
1243.03,41,41067.3
1275.12,42,41067.3
1304.75,43,41067.3
1347.1,44,41067.3
1374.99,45,40296.4
1402.99,46,40022.5
1432.13,47,39940.1
1459.18,48,39922.4
1489.84,49,39918.1
1523.89,50,39918.1
1551.51,51,39918.1
1580.51,52,39918.1
1608.54,53,39918.1
1634.93,54,39918.1
1663.19,55,39918.1
1690.46,56,39918.1
1715.61,57,39918.1
1742.72,58,39918.1
1767.62,59,39918.1
1793.46,60,39918.1
1818.56,61,39918.1
1844.81,62,39918.1
1872.24,63,39918.1
1914.89,64,39918.1
1941.25,65,39918.1
1967.1,66,39918.1
1992.63,67,39918.1
2016.47,68,39918.1
2042.51,69,39918.1
2066.45,70,39918.1
2094.14,71,39918.1
2119.26,72,39918.1
2145.14,73,39918.1
2169.61,74,39918.1
2194.91,75,39918.1
2220.08,76,39918.1
2246.2,77,39918.1
2271.73,77,39918.1
