Time_ms,Iteration,MinEnergy
1.5748,1,184430
32.9575,2,145.418
64.2283,3,124.991
94.0964,4,124.991
147.182,5,123.324
200.088,6,120.819
254.131,7,120.819
304.476,8,120.819
353.549,9,120.819
403.943,10,120.819
459.953,11,120.819
509.743,12,120.819
560.621,13,120.819
625.156,14,120.819
677.322,15,120.819
742.958,16,120.819
796.361,17,120.819
851.941,18,120.819
907.753,19,120.819
958.832,20,120.819
1011.07,21,120.819
1059.61,22,120.504
1111.95,23,120.01
1160.23,24,120.01
1196.67,25,120.01
1235.99,26,120.01
1273.6,27,120.01
1313.95,28,120.01
1351.34,29,120.01
1390.05,30,120.01
1427.04,31,120.01
1463.46,32,120.01
1504.12,33,120.01
1540.49,34,120.01
1575.4,35,120.01
1609.64,36,120.01
1645.39,37,120.01
1680,38,120.01
1717.28,39,120.01
1753.32,40,120.01
1787.97,41,120.01
1823.55,42,120.01
1859.13,43,120.01
1893.9,44,120.01
1932.1,45,120.01
1967.75,46,120.01
2003.58,47,120.01
2033.08,48,120.01
2063.41,49,120.01
2094.24,50,120.01
2127.38,51,120.01
2158.84,51,120.01
