Time_ms,Iteration,MinEnergy
0.2965,1,7.28936e+06
20.5318,2,1298.84
42.776,3,607.071
61.607,4,582.584
84.7212,5,582.584
116.311,6,236.48
146.217,7,228.059
174.784,8,225.118
203.239,9,221.712
232.809,10,221.712
264.055,11,221.712
294.56,12,221.712
323.535,13,221.712
352.52,14,221.712
381.629,15,221.712
417.617,16,221.712
448.992,17,221.712
477.824,18,221.712
506.871,19,221.712
535.689,20,221.712
570.026,21,221.712
601.625,22,221.712
635.147,23,221.712
670.919,24,221.712
717.892,25,221.712
743.766,26,220.493
768.703,27,219.611
793.11,28,217.133
819.313,29,214.404
846.245,30,214.404
871.8,31,214.404
898.553,32,214.404
922.654,33,214.404
949.947,34,214.404
976.375,35,214.404
1002.74,36,214.404
1027.34,37,214.404
1051.76,38,214.404
1075.36,39,214.404
1104.58,40,214.404
1130.71,41,214.404
1159.7,42,214.404
1187.78,43,214.404
1212.45,44,214.404
1251.11,45,214.404
1278.11,46,214.404
1304.25,47,214.404
1330.94,48,214.404
1355.92,49,214.404
1382.82,50,214.404
1418.59,51,214.404
1446.41,52,214.404
1472.57,53,214.404
1498.97,54,214.404
1525.44,55,214.404
1552.39,55,214.404
