X,Y,Z
0,0,0
0,0,1.508
-1.39894,-0.252261,2.01138
-2.36934,-0.17863,0.859443
-3.78097,-0.249961,1.38507
-4.43219,-1.5235,0.907498
-4.10699,-1.73963,-0.549072
-2.8149,-2.50805,-0.667725
-2.12446,-1.33288,-0.0796033
-0.683718,-1.24627,-0.503381
1.03006,0.0224835,-0.364851
-0.534502,0.880818,-0.364851
0.348633,0.96953,1.87285
0.66532,-0.78669,1.87285
-1.66049,0.503608,2.7563
-1.44944,-1.2446,2.46676
-2.22804,0.763114,0.322974
-4.35008,0.608779,1.01994
-3.76445,-0.237415,2.47788
-5.51555,-1.44788,1.03106
-4.05722,-2.36683,1.49302
-4.00202,-0.772268,-1.04691
-4.91244,-2.30691,-1.02246
-2.65534,-3.17332,-1.61441
-2.55997,-3.28755,0.163922
-2.26698,-0.303039,-0.603043
-0.453529,-1.09114,-1.63727
0.00835572,-2.16079,-0.285563
