Symbol,X,Y,Z
"C",0,0,0
"C",0,0,1.508
"C",-1.41935,-0.0782925,2.01138
"C",-1.81484,-1.52377,2.17941
"C",-2.41996,-2.03263,0.895294
"C",-1.32132,-2.35087,-0.08745
"C",-0.248969,-1.39953,-0.503381
"H",0.968706,0.350914,-0.364851
"H",-0.788254,0.663467,-0.364851
"H",0.465228,0.919291,1.87285
"H",0.563516,-0.862545,1.87285
"H",-2.08851,0.400733,1.29208
"H",-1.49373,0.433541,2.97426
"H",-2.54729,-1.61023,2.98607
"H",-0.930869,-2.11767,2.42545
"H",-3.07576,-1.26722,0.472554
"H",-2.99965,-2.93674,1.09827
"H",-1.60834,-2.473,-1.21304
"H",-0.713336,-3.33614,0.0670227
"H",-0.42478,-0.768216,-1.46704
"H",0.805367,-1.83653,-0.739007
