Symbol,X,Y,Z
"C",0,0,0
"C",0,0,1.508
"C",0.209104,-1.40604,2.01138
"C",0.543296,-1.36992,3.48144
"C",1.06191,-2.71856,3.91305
"O",-0.622222,-1.05265,4.22416
"H",-0.251396,0.999166,-0.364851
"H",-0.739605,-0.717298,-0.364851
"H",0.991001,-0.281868,-0.364851
"H",-0.958345,0.378296,1.87285
"H",0.806786,0.640803,1.87285
"H",1.03181,-1.87147,1.46258
"H",-0.704049,-1.98733,1.86005
"H",1.30836,-0.610767,3.66313
"H",1.96018,-2.96422,3.34086
"H",0.296925,-3.47824,3.73323
"H",1.30504,-2.6921,4.97834
"H",-0.383423,-0.484068,4.97547
