Symbol,X,Y,Z
"N",0,0,0
"C",0,0,1.451
"C",0.779572,1.18867,1.95438
"C",0.954834,1.07974,3.44819
"O",1.36364,2.33347,3.96949
"C",2.00371,0.0413671,3.75757
"C",1.66452,-1.24427,3.04613
"S",3.03811,-2.40383,3.20955
"C",0.639634,-1.26946,1.95438
"H",-0.577246,0.767755,-0.340149
"H",-0.376272,-0.883787,-0.340149
"H",-1.02864,0.0585588,1.81585
"H",0.237044,2.10755,1.71777
"H",1.76091,1.21153,1.47364
"H",0.00670704,0.786895,3.90639
"H",0.966319,2.46525,4.84673
"H",2.03423,-0.136482,4.83557
"H",2.98034,0.39737,3.41978
"H",0.765601,-1.68033,3.48935
"H",2.65163,-3.45439,3.94794
"H",-0.485567,-1.26053,2.26089
"H",0.640163,-2.17973,1.22532
