X,Y,Z
0,0,0
0,0,1.451
-1.23737,-0.699706,1.95438
-2.45281,-0.128885,1.26813
-2.76129,1.23186,1.84021
-3.80503,2.14777,0.687055
-1.47549,1.98776,2.06248
0.0127221,1.42145,1.95438
0.899201,1.38286,3.20739
0.20773,-0.937821,-0.340149
0.708312,0.64881,-0.340149
0.887626,-0.523119,1.81585
-1.32622,-0.552385,3.03376
-1.16569,-1.76863,1.73777
-3.30674,-0.792401,1.4269
-2.2575,-0.0373239,0.19663
-3.28512,1.11705,2.79261
-3.16054,2.29552,-0.479602
-1.34015,2.55811,3.07274
-1.20523,2.845,1.31659
0.784074,1.94641,1.22635
0.83273,2.23068,3.6781
