Smiles,MinEnergy
C,8.35921e-06
C1(=CC2(=C(C=C1)C3(=CC=C2)C=CC4C=CC5=CC6=CC=CC=C6)C=C5)C43,15979.5
C1(=CC2=CC=C1)C=CC=C2,1483.1
C1(CCC2=CC1)CCCC2,69.9716
C1=CC2=C(C=C1)C=CC=C2,48.7525
C1=CC=C2C=CC=CC2=C1,37.9492
C1=CC=CC=C1,22.8029
C1=CC=CC=CC=CC=C1,43.0036
C1C2CC3CC1CC(C2)C3,14.5161
C1CC1,368.711
C1CC2=C(C1)CCC2,1181.91
C1CCC1,455.759
C1CCC2CCCCC2C1,11.2147
C1CCCC1,14.084
C1CCCCC1,-1.82733
CC1CCCCC1,3.81679
CC1CCCCC1C,8.60086
CCCCC,-4.88384
CCCCCC,-4.92562
CCCCCCCC,-5.01603
CCCCCCCCCCCCCC,-5.29464
