Time_ms,Iteration,MinEnergy
1.2612,1,1.17102e+07
153.219,2,703410
323.367,3,30276.5
491.082,4,14049.4
647.413,5,14049.4
850.379,6,444.659
1068.64,7,226.78
1288.72,8,226.684
1502.04,9,222.979
1709.7,10,222.979
1925.67,11,222.979
2141.97,12,222.979
2355.4,13,222.979
2580.2,14,222.979
2798.64,15,222.979
3022.34,16,222.979
3240.15,17,222.979
3444.79,18,222.979
3660.68,19,222.979
3872.05,20,222.979
4067.03,21,222.979
4259.84,22,222.979
4456.96,23,222.979
4661.9,24,222.979
4885.7,25,222.979
5101.73,26,222.979
5310.72,27,222.206
5529.97,28,222.206
5757.12,29,222.206
5997.91,30,222.206
6231.91,31,222.206
6462.82,32,222.206
6698.86,33,222.206
6944.74,34,222.206
7186.27,35,222.206
7424.11,36,222.206
7660.08,37,222.206
7899.77,38,222.206
8128.77,39,222.206
8352.07,40,222.206
8578.42,41,222.206
8812.11,42,222.206
9044.32,43,222.206
9284.73,44,222.206
9532.29,45,222.206
9745.48,46,222.206
9966.49,47,222.206
10178.1,48,222.206
10385.8,49,222.206
10589.1,50,222.206
10794.7,51,222.206
11018.1,52,222.206
11227.7,53,222.206
11436.9,54,222.206
11652.6,55,222.206
11866.1,56,222.206
12086.2,57,222.206
12312.8,57,222.206
