Time_ms,Iteration,MinEnergy
0.4579,1,2.36498e+07
96.7878,2,1.45702e+06
185.315,3,382159
267.422,4,273006
352.579,5,207537
433.174,6,57081
523.628,7,4360.79
625.306,8,4360.79
768.086,9,1939.9
901.013,10,1939.9
1043.94,11,1939.9
1230.11,12,1939.9
1411.76,13,1939.9
1558.55,14,1939.9
1719.05,15,1939.9
1848.75,16,1939.9
1976.69,17,1939.9
2121.45,18,1939.9
2279.97,19,1939.9
2448.03,20,1939.9
2592.82,21,1939.9
2725.69,22,1939.9
2880.42,23,1939.9
3024.78,24,1939.9
3184.75,25,1939.9
3329.17,26,1939.9
3476.84,27,1939.9
3671.71,28,1939.9
3802.06,29,914.331
3929.84,30,914.331
4070.78,31,914.331
4200.18,32,914.331
4326.51,33,914.331
4465.87,34,914.331
4605.61,35,914.331
4747.53,36,914.331
4868.86,37,914.331
4991.22,38,914.331
5125.15,39,914.331
5248.04,40,914.331
5367.42,41,914.331
5487.48,42,914.331
5619.3,43,914.331
5738.69,44,914.331
5865.18,45,914.331
5993.61,46,914.331
6122.08,47,914.331
6276.5,48,914.331
6417.41,49,610.362
6535.47,50,610.362
6650.72,51,610.362
6766.26,52,610.362
6884.88,53,610.362
6997.21,54,610.362
7109.29,55,610.362
7216.67,56,610.362
7314.43,57,610.362
7416.55,58,610.362
7516.14,59,610.362
7617.84,60,610.362
7718.83,61,610.362
7817.02,62,610.362
7921.53,63,610.362
8021.65,64,610.362
8119.03,65,610.362
8226.99,66,610.362
8342.84,67,610.362
8479.75,68,610.362
8582.51,69,608.823
8688.08,70,608.823
8794.18,71,608.823
8907.85,72,608.823
9023.9,73,608.823
9145.57,74,608.823
9272.48,75,608.823
9396.62,76,608.823
9516.03,77,608.823
9633.53,78,608.823
9751.24,79,608.823
9895.81,80,608.823
10020.8,81,608.823
10156.2,82,608.823
10289.1,83,608.823
10420.8,84,608.823
10551.1,85,608.823
10685.4,86,608.823
10818.7,87,608.823
10963,88,608.823
11088.3,89,575.795
11242.3,90,575.795
11365,91,562.301
11487.8,92,550.261
11611,93,548.232
11730.7,94,547.392
11849.6,95,543.557
11971,96,543.557
12111.1,97,543.557
12231.8,98,543.557
12347.5,99,543.557
12466.3,100,543.557
12580.6,101,543.557
12697.8,102,543.557
12814.2,103,543.557
12930.8,104,543.557
13042.1,105,543.557
13163.3,106,543.557
13274.9,107,543.557
13405.8,108,543.557
13512.2,109,542.337
13608.8,110,542.337
13702.7,111,542.337
13798.6,112,542.337
13892.4,113,542.337
13987.9,114,542.337
14084.5,115,542.337
14183.8,116,542.337
14283.9,117,542.337
14383.6,118,542.337
14480.5,119,542.337
14575.5,120,542.337
14670.7,121,542.337
14768.3,122,542.337
14866.8,123,542.337
14964.5,124,542.337
15063.4,125,542.337
15166.9,126,542.337
15265.6,127,542.337
15388.3,128,542.337
15472.8,129,542.337
15558.9,130,542.337
15643.5,131,542.337
15721.9,132,542.337
15815.4,133,542.337
15903.5,134,542.337
15986.8,135,542.337
16071.9,136,542.337
16158,137,542.337
16238.6,138,542.337
16314.7,139,542.337
16388.8,139,542.337
