Time_ms,Iteration,MinEnergy
0.1525,1,157214
10.679,2,12049.7
21.576,3,2120.27
35.3427,4,2120.27
55.257,5,579.921
75.6271,6,122.858
101.755,7,60.2272
122.927,8,53.975
140.645,9,53.2908
164.524,10,53.2908
187.011,11,53.2908
210.225,12,53.2908
230.897,13,53.2908
248.912,14,53.2908
266.874,15,53.2908
283.981,16,53.2908
301.254,17,53.2908
319.711,18,53.2908
337.833,19,53.2908
353.921,20,53.2908
369.858,21,53.2908
385.906,22,53.2908
403.597,23,53.2908
431.413,24,53.2908
448.304,25,53.1587
464.382,26,53.0748
479.695,27,52.5566
495.279,28,52.5566
510.955,29,52.5566
527.544,30,52.5566
543.002,31,52.5566
558.394,32,52.5566
574.419,33,52.5566
591.659,34,52.5566
609.691,35,52.5566
627.931,36,52.5566
648.168,37,52.5566
671.909,38,52.5566
694.878,39,52.5566
717.317,40,52.5566
734.742,41,52.5011
751.35,42,52.5011
767.624,43,52.5011
792.524,44,52.5011
807.282,45,51.4224
820.267,46,51.4224
832.5,47,51.4224
844.073,48,51.4224
855.705,49,51.4224
867.542,50,51.4224
879.674,51,51.4224
891.353,52,51.4224
902.734,53,51.4224
914.297,54,51.4224
927.263,55,51.4224
942.132,56,51.4224
956.742,57,51.4224
969.294,58,51.4224
983.359,59,51.4224
994.543,60,51.4224
1006.52,61,51.4224
1020.36,62,51.4224
1034.89,63,51.4224
1060.18,64,51.4224
1072,65,51.4224
1084.47,65,51.4224
