Time_ms,Iteration,MinEnergy
0.2128,1,5.0444e+06
13.5822,2,30945.7
28.1246,3,3607
40.1219,4,146.786
51.8751,5,146.786
74.0546,6,146.786
95.6971,7,146.786
118.606,8,146.786
142.464,9,146.786
164.495,10,146.786
186.648,11,146.786
208.562,12,146.786
232.594,13,146.786
252.996,14,146.786
278.159,15,146.786
299.329,16,146.786
320.728,17,146.786
342.126,18,146.786
362.821,19,146.786
384.092,20,146.786
405.032,21,146.786
427.115,22,146.786
448.77,23,146.786
469.508,24,146.786
490.485,25,146.786
507.742,25,146.786
