Time_ms,Iteration,MinEnergy
0.1819,1,28738.8
18.7897,2,3634.77
37.3302,3,879.871
55.5311,4,879.871
81.4015,5,739.295
105.858,6,631.345
130.599,7,565.845
153.786,8,430.961
178.839,9,430.961
202.936,10,430.961
226.721,11,430.961
251.504,12,430.961
275.624,13,430.961
299.68,14,430.961
321.838,15,430.961
348.421,16,430.961
372.874,17,430.961
398.522,18,430.961
422.056,19,430.961
445.883,20,430.961
467.011,21,401.231
486.977,22,395.749
506.466,23,392.548
529.662,24,390.974
551.466,25,390.716
574.996,26,390.523
599.532,27,390.523
622.55,28,390.523
646.627,29,390.523
670.045,30,390.523
692.677,31,390.523
715.794,32,390.523
737.896,33,390.523
763.01,34,390.523
787.464,35,390.523
810.916,36,390.523
834.412,37,390.523
856.917,38,390.523
881.582,39,390.523
903.766,40,390.523
927.133,41,390.523
950.804,42,390.523
971.393,43,390.523
996.33,44,390.523
1014.33,44,390.523
