Time_ms,Iteration,MinEnergy
0.2,1,3.41432e+06
18.7261,2,1617.87
35.5632,3,753.778
52.4291,4,753.778
77.3782,5,211.558
100.502,6,162.708
124.212,7,143.852
147.019,8,137.495
171.584,9,134.329
193.838,10,132.418
217.466,11,130.953
242.03,12,129.755
264.438,13,128.731
287.171,14,127.83
309.93,15,126.925
333.309,16,126.042
359.323,17,125.006
382.734,18,123.633
409.673,19,121.357
436.657,20,116.53
458.375,21,103.803
481.536,22,75.8231
505.034,23,55.8463
528.222,24,47.3967
550.851,25,41.5645
570.3,26,37.6071
588.403,27,34.9996
606.54,28,33.1973
624.984,29,31.9196
641.377,30,30.9701
661.266,31,30.2293
683.118,32,29.6476
702.385,33,29.1381
724.228,34,28.7036
744.726,35,28.3137
765.045,36,27.9593
787.298,37,27.6029
808.905,38,27.2665
828.91,39,26.9221
849.514,40,26.6153
870.068,41,26.2976
890.705,42,25.9817
913.754,43,25.6705
937.212,44,25.3517
957.137,45,25.0646
974.641,46,24.7771
993.907,47,24.5305
1011.94,48,24.2499
1029.73,49,23.9424
1046.15,50,23.6286
1062.83,51,23.3381
1079.76,52,23.0395
1097.91,53,22.7029
1117.59,54,22.3682
1136.39,55,22.0577
1156.48,56,21.7639
1174.41,57,21.4617
1191.19,58,21.1136
1209.53,59,20.7785
1227.09,60,20.4845
1244.46,61,20.141
1261.73,62,19.8035
1277.72,63,19.4766
1294.62,64,19.1345
1308.1,65,18.7984
1322.45,66,18.4628
1335.4,67,18.1302
1349.54,68,17.7821
1366.69,69,17.4495
1381.09,70,17.1168
1393.64,71,16.7562
1406.66,72,16.3916
1420.2,73,16.0707
1432.91,74,15.7224
1446.12,75,15.3674
1459.69,76,15.0263
1474.63,77,14.6881
1489.97,78,14.3726
1503.53,79,14.0924
1516.74,80,13.8135
1529.42,81,13.5405
1543.36,82,13.2549
1561.26,83,13.0046
1578.9,84,12.76
1589.92,85,12.5132
1601.35,86,12.3105
1612.41,87,12.0879
1625.28,88,11.9022
1636.8,89,11.736
1649.06,90,11.5616
1660.39,91,11.4062
1670.98,92,11.2741
1686.86,93,11.1416
1700.18,94,10.9984
1711.83,95,10.887
1722.41,96,10.7767
1735.47,97,10.6954
1746.69,98,10.5978
1759.43,99,10.511
1774.5,100,10.4432
1785.37,101,10.3844
1799.92,102,10.3363
1812.28,103,10.2814
1825.3,104,10.2223
1837.16,105,10.1808
1848.01,106,10.1397
1857.22,107,10.1072
1868.56,108,10.0664
1878.19,109,10.0362
1887.93,110,10.0062
1898.65,111,9.9741
1909.22,112,9.94428
1922.11,113,9.92136
1934.1,114,9.90026
1944.49,115,9.8803
1956.84,116,9.8658
1968.23,117,9.84203
1978.03,118,9.82901
1991.28,119,9.82215
2004.39,120,9.80954
2016.55,121,9.79917
2028.14,122,9.7901
2040.86,123,9.7759
2052.56,124,9.76569
2060.9,125,9.75892
2069.29,126,9.75234
2077.05,127,9.74652
2085.63,128,9.74089
2095.12,129,9.7347
2103.29,130,9.7273
2111.38,131,9.72149
2120.27,132,9.71902
2129.72,133,9.71902
2139.28,134,9.71902
2148.87,135,9.71902
2158.68,136,9.71902
2171.29,137,9.71902
2182.04,138,9.71902
2191.84,139,9.71902
2203.05,140,9.71902
2212.4,141,9.71902
2222.2,142,9.71902
2231.8,143,9.71902
2241.24,144,9.71902
2247.61,145,9.71401
2254.32,146,9.70888
2258.64,146,9.70888
