Time_ms,Iteration,MinEnergy
0.1029,1,4340.59
6.3117,2,10.7659
15.6553,3,10.7659
22.5671,4,3.89454
30.8747,5,3.87659
37.5657,6,3.86363
45.338,7,3.85127
52.184,8,3.83952
60.0771,9,3.82837
67.8107,10,3.81782
74.9707,11,3.80789
81.5616,12,3.79858
87.7706,13,3.78989
94.0441,14,3.78184
100.596,15,3.77286
107.42,16,3.76415
114.194,17,3.76027
120.583,18,3.75399
126.942,19,3.7501
132.318,20,3.74489
139.3,21,3.73966
146.443,22,3.73752
160.907,23,3.73488
166.774,24,3.73262
172.466,25,3.73112
178.112,26,3.72883
184.024,27,3.72745
190.898,27,3.72745
