Time_ms,Iteration,MinEnergy
0.4157,1,184430
42.593,2,19906.3
79.3234,3,19888.7
115.789,4,19888.2
153.77,5,19888.2
218.379,6,19839.5
271.806,7,19839.5
323.966,8,19839.5
378.012,9,19839.5
429.751,10,19839.5
481.935,11,19839.5
534.314,12,19839.5
588.663,13,19839.5
639.76,14,19839.5
699.269,15,19839.5
752.971,16,19839.5
813.102,17,19839.5
867.078,18,19832
928.982,19,19825.7
991.011,20,19824.3
1046.59,21,19824.3
1101.73,22,19824.3
1155.92,23,19824.3
1212.66,24,19824.3
1264.06,25,19824.3
1309.39,26,19824.3
1357.1,27,19824.3
1407.07,28,19824.3
1458.34,29,19824.3
1511.37,30,19824.3
1562.27,31,19824.3
1614.49,32,19824.3
1667.67,33,19824.3
1716.81,34,19824.3
1768.52,35,19824.3
1819.93,36,19824.3
1869.65,37,19824.3
1917.38,38,19824.3
1965.3,39,19824.3
2014.93,40,19824.3
2060.65,41,19824.3
2105.78,42,19824.3
2155.52,43,19824.3
2201.97,44,19824.3
2253.49,45,19824.3
2299.6,46,19824.3
2343.37,47,19824.3
2386.24,48,19824.3
2431.93,48,19824.3
