Time_ms,Iteration,MinEnergy
0.3607,1,257132
17.9561,2,86.0245
39.7115,3,86.0245
61.8435,4,64.8658
92.2077,5,59.9215
114.865,6,58.9276
137.035,7,58.4134
155.586,8,56.6341
174.123,9,55.1793
193.605,10,53.839
213.002,11,52.9159
227.112,12,51.3235
245.963,13,50.1736
269.229,14,49.6203
286.011,15,49.6203
303.789,16,49.6203
322.993,17,49.6203
340.178,18,49.6203
357.351,19,49.6203
374.829,20,49.6203
391.873,21,49.6203
411.051,22,49.6203
437.451,23,49.6203
453.945,24,49.6203
470.652,25,49.6203
486.875,26,49.6203
502.457,27,49.6203
517.708,28,49.6203
532.348,29,49.6203
546.732,30,49.6203
562.486,30,49.6203
