X,Y,Z
0,0,0
0,0,1.508
1.4215,0,2.01138
1.4215,0,3.51938
2.84301,0,4.02276
2.84301,0,5.53076
4.26451,0,6.03414
4.26451,0,7.54214
0.710752,-1.23106,4.02276
-1.4215,0,-0.503381
0.515154,-0.892272,-0.364851
0.515154,0.892272,-0.364851
-0.515154,-0.892272,1.87285
-0.515154,0.892272,1.87285
1.93739,0.892272,1.64757
1.93739,-0.892272,1.64757
0.90635,0.892272,3.88423
3.35889,0.892272,3.65895
3.35889,-0.892272,3.65895
2.32785,-0.892272,5.89561
2.32785,0.892272,5.89561
4.7804,0.892272,5.67033
4.7804,-0.892272,5.67033
4.45922,1.01174,8.09234
5.04335,-0.674494,8.09234
-0.136275,-2.59767,2.60568
-2.76251,1.1771,-1.6915
-2.56757,-0.509186,-2.24199
