Symbol,X,Y,Z
"C",0,0,0
"C",0,0,1.508
"C",-1.41551,-0.130345,2.01138
"C",-1.88953,-1.54894,1.81912
"C",-1.65811,-1.96754,0.388982
"C",-0.720676,-1.22527,-0.503381
"H",1.03027,-0.0083251,-0.364851
"H",-0.507927,0.896406,-0.364851
"H",0.431166,0.93575,1.87285
"H",0.594801,-0.841276,1.87285
"H",-2.06511,0.549051,1.45362
"H",-1.44978,0.123847,3.07386
"H",-2.95639,-1.61137,2.04838
"H",-1.33445,-2.21276,2.48686
"H",-2.50519,-1.76184,-0.388448
"H",-1.46377,-3.09852,0.171317
"H",-1.16981,-0.418784,-1.21451
"H",-0.0944185,-1.84188,-1.26853
