Symbol,X,Y,Z
"C",0,0,0
"C",0,0,1.508
"C",3.87469e-15,-1.4215,2.01138
"C",1.53952e-14,-1.4215,3.51938
"C",1.9502e-14,-2.84301,4.02276
"H",1.89264e-16,1.03031,-0.364851
"H",-0.892272,-0.515154,-0.364851
"H",0.892272,-0.515154,-0.364851
"H",-0.892272,0.515154,1.87285
"H",0.892272,0.515154,1.87285
"H",0.892272,-1.93739,1.64757
"H",-0.892272,-1.93739,1.64757
"H",-0.892272,-0.90635,3.88423
"H",0.892272,-0.90635,3.88423
"H",0.892272,-3.35889,3.65895
"H",-0.892272,-3.35889,3.65895
"H",2.74409e-14,-2.84301,5.11576
