X,Y,Z
0,0,0
0,0,1.508
1.4215,0,2.01138
2.37052,0,0.839445
3.79202,0,1.34283
4.74104,0,0.170889
6.16254,0,0.67427
7.11156,0,-0.497666
8.53306,0,0.00571465
1.03031,0,-0.364851
-0.515154,0.892272,-0.364851
-0.515154,-0.892272,-0.364851
-0.515154,-0.892272,1.87285
-0.515154,0.892272,1.87285
1.59347,-0.892272,2.61878
1.59347,0.892272,2.61878
2.19978,0.892272,0.231706
2.19978,-0.892272,0.231706
3.96398,-0.892272,1.95022
3.96398,0.892272,1.95022
4.5703,0.892272,-0.43685
4.5703,-0.892272,-0.43685
6.3345,-0.892272,1.28166
6.3345,0.892272,1.28166
6.94081,0.892272,-1.10541
6.94081,-0.892272,-1.10541
9.22091,0,-0.843706
8.70502,-0.892272,0.61311
8.70502,0.892272,0.61311
