Smiles,MinEnergy,OptTime
C,1.40023e-311,2.02369e-320
C12C3C4C1C5C2C3C45,37572.1,INF
C1=CC2=C(C3=C(C=CC4=C3C5=C(C=C4)C=CC6=C5C=CC=C6)C=C2)C=C1,295.656,INF
C1=CC2=C(C=C3C=CC=CC3=C2)C=C1,72.9797,INF
C1=CC2=C(C=CC=C2)C=C1,27.6694,0.362586
C1=CC2=C3C(C=CC4=CC5=C6C(C=CC(C6=C34)=C2)=CC=C5)=C1,152.06,INF
C1=CC2=CC=CC=C2C=C1,28.2245,INF
C1=CC=C2C=CC=CC2=C1,51.1367,INF
C1=CC=CC=C1,12.582,INF
C1=CC=CC=CC=CC=C1,40.5708,INF
C1C2CC3CC1CC(C2)C3,-1.62223,INF
C1C=CC2=CC=CC3=C2C1=CC=C3,44.9672,INF
C1C=CCC=C1,4.65075,INF
C1CCC2CCCCC2C1,-2.08367,2.88172
C1CCCC1,9.1947,0.102898
C1CCCCC1,-8.14697,4.51724
C1CCCCCCCCC1,8.92508,INF
C=C1C=CC2=CC=CC3=C2C1=CC=C3,49.3056,INF
C=CC1=CC2=C(C=CC3=C2C=CC=C3)C=C1,54.9301,INF
CC,-2.13296,0.0024104
CC(C)(C)C(C)(C)C(C)(C)C(C)(C)C,178.19,76.8188
CC(C)(O)C(C)(O)C(C)(O)C(C)(C)O,111.53,78.2422
CC(C)=O,1.3087,INF
CC(C)C(C)C(C)C(C)C,36.426,12.4506
CC(C)CCC(C)C,6.7851,6.71313
CC(NC1=CC=C(S(O)(=O)=O)C=C1)=O,120.729,INF
CC1(C=C1)(O)=C,182.985,1.44289
CC1CCC2CC(C)CCC2C1,23.4303,4.40398
CC1CCC2CCCCC2C1,18.6087,INF
CC1CCCCC1,-2.30256,0.276907
CC1CCCCC1C,3.85942,1.20785
CCC,-4.85105,0.061675
CCC(=O)CCC(CN)CN,11.8147,INF
CCC(CO)CCC(CN)CN,14.3749,INF
CCC(O)CCC(CN)CN,9.86463,INF
CCC1=CC=CC=C1,11.9057,INF
CCC1CCC=CC1,8.74996,INF
CCC1CCCCC1,13.8805,INF
CCCC,-7.32411,0.736969
CCCC(C)(CC)C1(C)C2CCCC21,414.373,100.319
CCCC(C)(CC)C1(C)CC1,397.232,18.2233
CCCCC,-4.88384,1.49726
CCCCC(C)C,0.849012,4.52564
CCCCC(C)CCC,3.48145,10.1152
CCCCC1=CC=CC=C1,11.7124,INF
CCCCCC,-4.92562,3.07723
CCCCCCCCCC,2.5486,10.4714
CNC(=O)CS,13.7208,INF
CS1(C=C1)(O)(C)C,551.363,0.512706
CS1(C=C1)(O)=C,156.375,0.256675
CS1(C=C1)(S)(C)=O,743.43,1.2681
CS1(C=C1)(S)(O)C,530.546,3.4156
CSC1=CC=CC=C1,12.7721,INF
N,0.000144596,INF
N1C=CC2=CC=CC3=C2C1=CC=C3,215.94,INF
NC(C=C(C1=CC=CC=C1)SC#C)CO,34.148,INF
NC(CO)C=CSC#C,7.68108,INF
OC(=O)C=C,2.51865,INF
SC1C=CCC=C1,8.11883,INF
