Smiles,MinEnergy
C,8.35921e-06
C12C3C4C1C5C2C3C45,37572.1
C1=CC2=C(C3=C(C=CC4=C3C5=C(C=C4)C=CC6=C5C=CC=C6)C=C2)C=C1,300.254
C1=CC2=C(C=C3C=CC=CC3=C2)C=C1,72.9797
C1=CC2=C(C=CC=C2)C=C1,27.6694
C1=CC2=CC=CC=C2C=C1,28.2245
C1=CC=C2C=CC=CC2=C1,51.4436
C1C2CC3CC1CC(C2)C3,-1.62223
C1CCC2CCCCC2C1,10.5004
C1CCCCC1,-8.14697
C=CC1=CC2=C(C=CC3=C2C=CC=C3)C=C1,54.9301
CC,-4.95896
CC(C)=O,1.3087
CC(NC1=CC=C(S(O)(=O)=O)C=C1)=O,120.729
CCC(=O)CCC(CN)CN,11.8147
CCC(CO)CCC(CN)CN,14.3749
CCC(O)CCC(CN)CN,9.86463
CCCC,-4.85021
CNC(=O)CS,13.7208
N,0.000144596
NC(C=C(C1=CC=CC=C1)SC#C)CO,34.148
NC(CO)C=CSC#C,7.68108
OC(=O)C=C,2.51865
