Time_ms,Iteration,MinEnergy
0.7555,1,1.17102e+07
175.491,2,1.14974e+06
347.588,3,409315
515.682,4,88093.4
683.498,5,56928
837.752,6,52076.4
1166.4,7,18520.6
1487.85,8,776.989
1813.77,9,762.604
2470.12,10,343.305
3813.45,11,267.755
5039.4,12,257.012
7793.9,13,235.515
10979.8,14,225.968
14502.8,15,225.135
17796,16,225.135
18056.3,17,225.135
18338,18,225.135
18604.1,19,225.135
18867.4,20,225.135
19129.1,21,225.135
19394.7,22,225.135
19654.4,23,225.135
19930.2,24,225.135
20192.9,25,225.135
20448.4,26,225.135
20719.3,27,225.135
21013.6,28,225.135
21280.2,29,225.135
21524.2,30,225.135
21761.7,31,225.135
22011,32,225.135
22243.9,33,225.135
22475.9,34,225.135
22722.5,35,225.135
22982.5,36,225.135
23203.8,37,225.135
23423.9,38,225.135
23632.1,39,225.135
23844.8,40,225.135
24045.8,41,225.135
24249.5,42,225.135
24460.5,43,225.135
24695.1,44,225.135
24936,45,225.135
25164.2,46,225.135
25425.2,46,225.135
