Time_ms,Iteration,MinEnergy
1.2847,1,2.36498e+07
124.888,2,138629
242.847,3,64210.2
348.506,4,29788.9
519.309,5,21997.8
867.035,6,166.928
1218.38,7,159.258
1988.18,8,152.06
2743.31,9,152.06
2924.43,10,152.06
3115.8,11,152.06
3285.52,12,152.06
3445.27,13,152.06
3614.17,14,152.06
3771.35,15,152.06
3941.65,16,152.06
4100.28,17,152.06
4297.59,18,152.06
4452.32,19,152.06
4603.57,20,152.06
4763.83,21,152.06
4948.2,22,152.06
5116.8,23,152.06
5271.15,24,152.06
5444.28,25,152.06
5598.51,26,152.06
5748.45,27,152.06
5910.82,28,152.06
6088.35,29,152.06
6221.43,30,152.06
6353.49,31,152.06
6481.4,32,152.06
6609.83,33,152.06
6744.29,34,152.06
6893.83,35,152.06
7023.75,36,152.06
7158.58,37,152.06
7286.23,38,152.06
7411.1,39,152.06
7533.5,39,152.06
