Time_ms,Iteration,MinEnergy
0.1436,1,157214
10.7522,2,2120.27
24.5243,3,2120.27
43.3434,4,653.177
61.8172,5,147.664
79.0959,6,55.2577
93.2144,7,53.671
110.286,8,53.671
129.029,9,53.671
145.744,10,53.671
163.332,11,53.671
181.535,12,53.671
199.919,13,53.671
218.622,14,53.671
240.437,15,53.671
258.406,16,53.671
276.474,17,53.671
295.009,18,53.671
313.361,19,53.671
331.171,20,53.671
349.721,21,53.671
367.196,22,53.671
385.515,23,53.671
401.4,24,52.0487
415.433,25,51.6904
432.155,26,51.6904
448.663,27,51.6904
466.959,28,51.6904
482.47,29,51.6904
498.414,30,51.6904
514.444,31,51.6904
531.33,32,51.6904
547.31,33,51.6904
563.659,34,51.6904
579.404,35,51.6904
595.445,36,51.6904
611.441,37,51.6904
627.377,38,51.6904
644.811,39,51.6904
662.82,40,51.6904
687.356,41,51.6904
702.529,42,51.6904
716.629,43,51.6904
728.228,44,51.6904
741.653,45,51.6904
755.06,45,51.6904
