Time_ms,Iteration,MinEnergy
0.3742,1,5.0444e+06
18.2359,2,24802.2
30.2172,3,755.201
40.852,4,755.201
61.8221,5,720.388
78.7626,6,334.647
98.6247,7,291.207
117.301,8,154.905
135.973,9,154.905
154.479,10,154.905
172.616,11,154.905
191.106,12,154.905
211.197,13,154.905
230.418,14,154.905
248.545,15,154.905
266.447,16,154.905
284.52,17,154.905
302.307,18,154.905
320.905,19,154.905
342.404,20,154.905
360.665,21,154.905
378.963,22,154.905
397.413,23,154.905
416.995,24,154.905
431.51,25,141.833
450.333,26,141.833
469.213,27,141.833
487.738,28,141.833
506.519,29,141.833
525.178,30,141.833
543.433,31,141.833
561.701,32,141.833
579.845,33,141.833
598.954,34,141.833
620.128,35,141.833
638.668,36,141.833
656.783,37,141.833
674.901,38,141.833
692.117,39,141.833
709.689,40,141.833
726.396,41,141.833
743.422,42,141.833
760.74,43,141.833
781.983,44,141.833
797.604,45,139.956
813.754,46,139.956
831.559,47,139.956
847.146,48,139.956
862.279,49,139.956
877.503,50,139.956
892.747,51,139.956
907.854,52,139.956
923.454,53,139.956
938.712,54,139.956
954.052,55,139.956
969.26,56,139.956
984.649,57,139.956
999.98,58,139.956
1015.69,59,139.956
1033.38,60,139.956
1048.81,61,139.956
1064.28,62,139.956
1079.17,63,139.956
1094.32,64,139.956
1106.66,65,139.956
1119.18,65,139.956
