Time_ms,Iteration,MinEnergy
4.542,1,108318
376.969,2,14985.3
762.828,3,7310.86
1140.75,4,7310.86
1665.66,5,3368.99
2164.68,6,2468.25
2650.57,7,2468.25
3211.53,8,2468.25
3815.49,9,2468.25
4414.42,10,2468.25
5039.08,11,2468.25
5647.57,12,2468.25
6178.57,13,2468.25
6732.64,14,2468.25
7261.95,15,2468.25
7796.45,16,2468.25
8346.11,17,2468.25
8890.85,18,424.811
9376.37,19,271.193
9850.35,20,271.193
10327.4,21,271.193
10836.5,22,271.193
11367.6,23,271.193
11852.1,24,142.067
12257.1,25,121.242
12681.1,26,108.207
13102.9,27,108.207
13568.7,28,108.207
13962,29,96.8425
14359.3,30,84.6885
14739.1,31,68.2604
15114.2,32,53.1693
15450,33,41.6824
15780.5,34,35.9459
16110.6,35,28.7804
16412.1,36,23.1297
16780.4,37,19.9427
17124.7,38,16.236
17488.5,39,13.3292
17887.7,40,10.9859
18267.3,41,9.3053
18589.8,42,7.82837
18959.1,43,6.86111
19342.9,44,5.72154
19641.8,45,5.02989
19968.6,46,4.18415
20286.1,47,3.45979
20563,48,2.84476
20864.2,49,2.42867
21179.7,50,1.90374
21496.7,51,1.43484
21803.5,52,1.09604
22127.7,53,0.805393
22459.1,54,0.501716
22772.2,55,0.275676
23099.9,56,0.0556695
23392.2,57,-0.151232
23676,58,-0.237728
23992.6,59,-0.411294
24260.3,60,-0.556979
24528.2,61,-0.69799
24823.7,62,-0.777533
25120.3,63,-0.899285
25446.3,64,-0.983084
25716.5,65,-1.05828
25986.8,66,-1.12518
26238.4,67,-1.1981
26508.2,68,-1.26121
26754.5,69,-1.299
27006.6,70,-1.33677
27271.6,71,-1.37207
27523.7,72,-1.4035
27775,73,-1.41854
28044.4,74,-1.44202
28307.3,75,-1.46697
28563.6,76,-1.48987
28797.2,77,-1.50868
29047,78,-1.52549
29287,79,-1.5369
29540.2,80,-1.54874
29780.5,81,-1.55334
30041,82,-1.56559
30295.4,83,-1.57625
30571.6,84,-1.58397
30759.9,85,-1.58813
30945.4,86,-1.59062
31162.6,87,-1.59382
31378.5,88,-1.5999
31584.9,89,-1.60211
31810.7,90,-1.60233
32013.7,91,-1.60713
32269.5,92,-1.60808
32479.4,93,-1.61194
32710,94,-1.61194
32951.4,95,-1.61194
33197.2,96,-1.61194
33474.7,97,-1.61194
33731.8,98,-1.61329
33958.7,99,-1.61476
34180,100,-1.61713
34393.1,101,-1.61747
34590.2,102,-1.61942
34817.4,103,-1.61987
35070.4,104,-1.62175
35242.4,104,-1.62175
