Time_ms,Iteration,MinEnergy
0.2239,1,9.73244e+06
22.7021,2,529269
44.5425,3,282462
66.1656,4,59074.1
95.5693,5,49460.7
119.462,6,49460.7
151.681,7,45300.9
181.736,8,40701.7
212.557,9,40701.7
242.561,10,40701.7
271.625,11,40701.7
300.646,12,40701.7
329.639,13,40701.7
358.301,14,40701.7
388.491,15,40701.7
417.639,16,40701.7
452.657,17,40701.7
481.814,18,40701.7
510.845,19,40701.7
537.449,20,40701.7
564.215,21,40701.7
589.792,22,40701.7
617.22,23,40701.7
646.366,24,40701.7
676.991,25,40701.7
720.246,26,40701.7
748.594,27,40701.7
772.648,28,40701.7
799.064,29,40701.7
823.381,30,40701.7
847.565,31,40701.7
874.764,32,40701.7
899.8,33,40701.7
927.709,34,40701.7
953.784,34,40701.7
