Time_ms,Iteration,MinEnergy
0.2546,1,3.03977e+06
29.9676,2,18757.9
62.5173,3,4615.61
124.985,4,2614.84
183.254,5,657.895
240.793,6,656.924
290.248,7,656.924
337.483,8,656.924
383.97,9,656.924
431.032,10,656.924
477.512,11,656.924
529.039,12,656.924
577.082,13,656.924
625.029,14,656.924
671.709,15,656.924
721.808,16,349.396
767.151,17,349.396
815.568,18,349.396
863.434,19,349.396
912.027,20,349.396
959.265,21,349.396
1006.35,22,349.396
1053.74,23,349.396
1102.8,24,349.396
1152.62,25,349.396
1199.6,26,349.396
1239.53,27,239.376
1281.39,28,239.376
1326.36,29,239.376
1368.42,30,239.376
1411.24,31,239.376
1451.71,32,239.376
1489.84,33,239.376
1542.53,34,239.376
1580.69,35,239.376
1618.68,36,239.376
1657.94,37,239.376
1697.94,38,239.376
1742.71,39,239.376
1785.88,40,239.376
1829.03,41,239.376
1871.91,42,239.376
1914.38,43,239.376
1959.56,44,239.376
2003.35,45,239.376
2046.71,46,239.376
2085.89,47,185.397
2121.69,48,185.397
2160.38,49,185.397
2197.47,50,185.397
2237.01,51,185.397
2273.93,52,185.397
2309.92,53,185.397
2346.37,54,185.397
2387.19,55,185.397
2425.73,56,185.397
2462.25,57,185.397
2498.07,58,185.397
2533.07,59,185.397
2566.43,60,185.397
2608.19,61,185.397
2659.63,62,185.397
2707.57,63,185.397
2758.28,64,185.397
2799.78,65,185.397
2838.94,66,185.397
2872.1,67,185.397
2905.39,68,185.397
2938.15,69,185.397
2970.33,70,185.397
3006.36,71,185.397
3040.7,71,185.397
