Time_ms,Iteration,MinEnergy
0.1633,1,9740.24
14.4291,2,4402.46
29.5686,3,4016.34
57.5903,4,3995.33
85.2877,5,3995.33
100.412,6,3993.7
115.576,7,3993.13
131.658,8,3992.92
148.084,9,3992.85
164.151,10,3992.84
180.478,11,3992.84
197.984,12,3992.84
214.736,13,3992.84
230.905,14,3992.84
249.416,15,3992.84
266.224,16,3992.84
282.8,17,3992.84
298.991,18,3992.84
315.73,19,3992.84
331.276,20,3992.84
348.073,21,3992.84
365.091,22,3992.84
382.299,23,3992.84
399.762,24,3992.84
416.558,25,3992.84
431.707,26,3992.76
448.534,27,3992.71
465.449,28,3992.68
478.389,29,3992.66
491.898,30,3992.65
504.882,31,3992.64
518.877,32,3992.64
533.493,33,3992.64
547.19,33,3992.64
