Time_ms,Iteration,MinEnergy
0.2268,1,28738.8
19.6008,2,1125.81
56.2915,3,747.014
93.3729,4,550.941
130.083,5,466.644
169.72,6,466.644
191.52,7,412.898
213.932,8,401.169
237.847,9,395.229
259.438,10,392.262
283.064,11,390.968
303.551,12,390.397
324.501,13,390.154
346.009,14,389.995
369.204,15,389.887
389.605,16,389.792
410.558,17,389.729
430.553,18,389.665
450.674,19,389.607
473.047,20,389.557
493.548,21,389.505
513.7,22,389.465
535.021,23,389.415
556.387,24,389.378
580.751,25,389.342
603.168,26,389.298
622.051,27,389.268
640.186,28,389.243
659.427,29,389.225
677.649,30,389.202
695.842,31,389.179
715.1,32,389.159
734.172,33,389.139
751.044,34,389.12
769.718,35,389.106
787.283,36,389.089
804.574,37,389.077
822.364,38,389.062
839.226,39,389.056
856.955,40,389.044
873.962,41,389.034
891.635,42,389.023
909.533,43,389.012
927.243,44,389.006
944.841,45,388.997
962.269,46,388.991
977.36,47,388.987
995.229,48,388.983
1011.3,49,388.973
1025.84,50,388.969
1040.24,51,388.965
1053,52,388.958
1066.61,53,388.954
1078.73,54,388.949
1091,55,388.946
1107.09,56,388.943
1120.96,57,388.936
1131.22,58,388.934
1147.6,59,388.931
1162.95,60,388.93
1177.75,61,388.927
1192.03,62,388.923
1206.82,63,388.92
1221.59,64,388.918
1234.74,65,388.916
1248.25,66,388.913
1258.6,67,388.912
1269.93,68,388.912
1279.97,69,388.912
1292.37,70,388.909
1305.31,71,388.906
1318.45,72,388.903
1329.66,73,388.9
1341.38,73,388.9
