Time_ms,Iteration,MinEnergy
0.1837,1,3.41432e+06
20.2453,2,729.246
37.13,3,729.246
65.0682,4,133.088
87.9141,5,68.5881
111.592,6,60.6388
135.558,7,55.001
159.273,8,51.5054
183.375,9,48.9184
208.195,10,48.9184
234.382,11,48.9184
258.402,12,48.9184
283.153,13,48.9184
307.636,14,48.9184
334.943,15,48.9184
359.766,16,48.9184
384.358,17,48.9184
409.717,18,48.9184
443.096,19,48.9184
466.501,20,48.9184
490.004,21,48.9184
513.788,22,48.9184
538.519,23,48.9184
556.953,24,47.3698
576.108,25,45.7207
597.153,26,44.4701
618.429,27,43.3514
638.801,28,42.4539
658.029,29,41.6285
678.91,30,40.9093
699.78,31,40.2466
721.877,32,39.6653
744.564,33,39.1709
767.852,34,38.6921
790.782,35,38.231
814.432,36,37.8174
836.459,37,37.4297
858.461,38,37.0739
877.66,39,36.7445
899.618,40,36.453
921.675,41,36.1908
946.576,42,35.9195
968.786,43,35.6459
986.658,44,35.3902
1005.01,45,35.1554
1023.66,46,34.9259
1040.74,47,34.7009
1057.57,48,34.5004
1075.36,49,34.2823
1092.36,50,34.0889
1111.5,51,33.9268
1130.89,52,33.7674
1151.02,53,33.6102
1169.04,54,33.438
1187.87,55,33.2896
1205.94,56,33.121
1225.21,57,32.9691
1244.24,58,32.8358
1264.32,59,32.6838
1284.62,60,32.5416
1304.75,61,32.3901
1325.46,62,32.2533
1342.5,63,32.1051
1359.96,64,31.9775
1379.59,65,31.8532
1393.2,66,31.7296
1408.04,67,31.6201
1427.25,68,31.4955
1444.29,69,31.3641
1459.72,70,31.2548
1472.15,71,31.1609
1486.18,72,31.0711
1499.63,73,30.9468
1512.81,74,30.8032
1526.71,75,30.6746
1541.27,76,30.5636
1555,77,30.4836
1569.11,78,30.3999
1583.38,79,30.2716
1598.76,80,30.1258
1611.83,81,29.9734
1626.68,82,29.8271
1641.48,83,29.6858
1653.1,84,29.5552
1665.32,85,29.4224
1677.51,86,29.2838
1688.95,87,29.1474
1700.57,88,29.0145
1711.72,89,28.8743
1723.58,90,28.7429
1735.8,91,28.6015
1747.97,92,28.482
1758.32,93,28.3462
1776.83,94,28.2031
1788.82,95,28.0665
1800.98,96,27.9449
1812.41,97,27.8018
1823.97,98,27.6763
1834.94,99,27.5374
1846.85,100,27.4052
1858.01,101,27.2789
1869.59,102,27.1394
1881.77,103,27.0066
1890.68,104,26.8798
1900.99,105,26.7708
1908.35,106,26.6357
1918.22,107,26.5198
1925.51,108,26.3916
1934.89,109,26.2746
1943.45,110,26.1465
1953.46,111,26.0389
1963.21,112,25.9106
1972.87,113,25.7937
1984.18,114,25.6773
1992.79,115,25.5497
2000.83,116,25.4336
2008.09,117,25.3179
2018.44,118,25.2027
2027.53,119,25.0878
2035.71,120,24.9668
2043.91,121,24.8529
2052.39,122,24.7397
2061.49,123,24.6528
2067.58,124,24.561
2072.81,125,24.4643
2079.56,126,24.3763
2085.07,127,24.3
2092.71,128,24.2165
2100.23,129,24.1447
2106.95,130,24.0653
2114.15,131,23.9871
2122.03,132,23.9056
2128.94,133,23.828
2136.56,134,23.758
2145.19,135,23.6843
2153.14,136,23.6146
2160.79,137,23.5453
2167.2,138,23.4738
2174.87,139,23.4105
2183.61,140,23.3344
2191.07,141,23.2665
2199.38,142,23.1945
2206.56,143,23.127
2213.85,144,23.0796
2220.32,145,23.0459
2226.46,146,23.0123
2234.57,147,22.9769
2240.01,148,22.9436
2247.41,149,22.9134
2253.8,150,22.8806
2259.34,151,22.8521
2266.56,152,22.8198
2272.29,153,22.789
2278.87,154,22.761
2285.78,155,22.7314
2290.94,156,22.7028
2297.6,157,22.6731
2303.42,158,22.6387
2308.79,159,22.6086
2314.3,160,22.5834
2319.91,161,22.5544
2325.28,162,22.5203
2331.5,163,22.4906
2335.42,164,22.4804
2338.94,164,22.4804
