Time_ms,Iteration,MinEnergy
0.2878,1,3.38653e+06
20.3403,2,1343.65
38.7883,3,233.189
57.6222,4,135.754
97.6398,5,77.0845
172.388,6,65.3294
242.827,7,64.2219
386.993,8,59.2523
536.247,9,57.8119
676.686,10,57.8119
705.466,11,56.1015
738.25,12,55.0687
768.99,13,55.0687
795.28,14,55.0687
829.556,15,55.0687
864.367,16,55.0687
901.48,17,55.0687
943.812,18,55.0687
980.896,19,55.0687
1012.56,20,55.0687
1042.23,21,55.0687
1072.49,22,55.0687
1102.93,23,55.0687
1134.47,24,55.0687
1161.21,25,55.0687
1190.67,26,55.0687
1219.9,27,55.0687
1246.34,28,55.0687
1274.84,29,55.0687
1303.42,30,55.0687
1330.95,31,55.0687
1356.66,32,55.0687
1381.57,32,55.0687
