Time_ms,Iteration,MinEnergy
0.2845,1,184430
30.6882,2,20632.8
59.7476,3,130.376
87.3982,4,129.405
118.442,5,129.405
165.179,6,124.43
216.923,7,122.547
263.615,8,122.547
312.754,9,122.547
359.352,10,122.547
408.875,11,122.547
459.579,12,122.547
509.621,13,122.547
559.253,14,122.547
608.21,15,122.547
660.092,16,122.547
707.942,17,122.547
757.042,18,122.547
806.51,19,122.547
861.228,20,122.547
932.75,21,122.547
982.772,22,122.547
1029.99,23,122.547
1082.96,24,122.547
1134.86,25,122.547
1173.11,26,122.547
1214.09,27,122.547
1258.82,28,122.547
1298.03,29,122.547
1338.87,30,122.547
1378.07,31,122.547
1419.19,32,122.547
1463.29,33,122.547
1501.77,34,122.547
1541.08,35,122.547
1582.77,35,122.547
