Time_ms,Iteration,MinEnergy
0.2031,1,7.28936e+06
21.3607,2,18503.6
44.9795,3,18503.6
75.4007,4,10388.3
103.203,5,4742.08
131.646,6,2398.61
160.19,7,1225.52
190.826,8,719.849
224.77,9,495.935
256.016,10,380.983
285.471,11,327.645
314.62,12,297.264
344.915,13,277.166
372.778,14,263.854
400.445,15,258.048
429.393,16,256.351
462.172,17,256.351
489.237,18,256.351
516.519,19,256.351
543.83,20,256.351
573.071,21,256.351
600.883,22,256.351
641.516,23,256.351
670.128,24,253.067
697.163,25,251.142
723.357,26,251.107
750.267,27,249.626
775.124,28,249.626
798.185,29,249.626
822.152,30,249.626
843.775,31,249.626
866.854,32,249.626
890.859,33,249.626
912.313,34,249.626
944.404,35,249.626
969.09,36,249.626
992.366,37,249.626
1015.64,38,249.626
1040.54,39,249.626
1063.53,40,249.626
1087.88,41,249.626
1112.39,42,249.626
1148.87,43,249.626
1174.48,44,249.626
1199.46,45,249.626
1226.39,46,249.626
1250.86,47,249.626
1276.59,48,249.626
1301.28,49,249.626
1330.85,50,249.626
1356.24,51,249.626
1380.79,52,249.626
1405.31,53,249.626
1431.2,53,249.626
