Smiles,MinEnergy,OptTime
C1=CC2=C(C3=C(C=CC4=C3C5=C(C=C4)C=CC6=C5C=CC=C6)C=C2)C=C1,127.893,66.7955
C1=CC2=C(C=CC=C2)C=C1,25.6833,27.5737
C1=CC=C1,3.43825,0.142139
C1=CC=CC=C1,11.568,5.32883
C1CC1,0.62969,0.345349
C1CC2CCC3CCC4CCC5CCC6CCC1C7=C2C3=C4C5=C67,422.594,539.674
C1CC=C1,17.6845,0.0791512
C1CCC2(C1)CCCC2,32.973,2.40792
C1CCCCC1,-5.04189,7.92539
CC(NC1=CC=C(S(O)(=O)=O)C=C1)=O,102.262,3.42417
CC1(C)CC1,24.3431,1.7295
CC1=C(C(C)=C1C)C,2.88292,1.40187
CC1=CC=C1,4.01908,0.252102
CC1C2CC21,16.6399,1.41023
CC1CC(C)CC(C)C1,22.1005,50.2472
CC1CC1,0.285943,0.700393
CC1CC1C,7.76289,2.49484
CC1CCC1,8.13242,1.37234
CC1CCCC(C)C1,3.43076,20.7866
CCCCC,-8.44673,1.90847
