Time_ms,Iteration,MinEnergy
0.1674,1,157214
10.6023,2,12049.7
21.1329,3,2120.27
34.2783,4,2120.27
53.7569,5,581.409
72.707,6,131.604
91.0467,7,66.8042
108.677,8,56.5753
126.359,9,53.1328
143.073,10,53.1328
160.261,11,53.1328
186.054,12,53.1328
203.916,13,53.1328
219.236,14,53.1328
234.574,15,53.1328
249.286,16,53.1328
264.833,17,53.1328
279.274,18,53.1328
297.072,19,53.1328
313.202,20,53.1328
330.248,21,53.1328
346.371,22,53.1328
363.333,23,53.1328
391.362,24,53.1328
419.161,25,52.5161
440.816,26,51.8512
456.24,27,51.8512
472.462,28,51.8512
488.315,29,51.8512
505.611,30,51.8512
521.827,31,51.8512
537.373,32,51.8512
553.43,33,51.8512
569.346,34,51.8512
585.137,35,51.8512
600.897,36,51.8512
617.111,37,51.8512
633.875,38,51.8512
649.202,39,51.8512
663.794,40,51.8512
678.485,41,51.8512
693.297,42,51.8512
707.411,43,51.8512
733.849,44,51.8512
748.386,45,51.8512
762.557,46,51.8512
777.029,46,51.8512
