Time_ms,Iteration,MinEnergy
2.734,1,5.0444e+06
212.011,2,999.928
431.347,3,755.201
640.472,4,755.201
1090.76,5,517.085
1447.79,6,104.253
1828.22,7,101.626
2208.15,8,101.626
2637.6,9,101.626
3031.04,10,101.626
3414.61,11,101.626
3830.85,12,101.626
4263.71,13,101.626
4746.49,14,101.626
5255.66,15,101.626
5812.64,16,101.626
6315.25,17,101.626
6813.43,18,101.626
7305.81,19,101.626
7765.69,20,101.626
8215.82,21,101.626
8663.39,22,101.626
9139.51,23,101.626
9600.09,24,101.626
9991.12,25,101.626
10373.3,26,101.626
10759.2,27,101.626
11108.8,27,101.626
