Time_ms,Iteration,MinEnergy
0.2007,1,28738.8
20.0255,2,879.871
40.1049,3,879.871
67.0789,4,554.118
93.0918,5,484.513
123.967,6,474.773
147.777,7,437.269
170.427,8,422.219
193.085,9,422.219
216.382,10,422.219
240.367,11,422.219
269.63,12,422.219
300.368,13,422.219
336.442,14,422.219
361.885,15,422.219
389.41,16,422.219
418.61,17,422.219
446.794,18,422.219
473.496,19,422.219
499.594,20,422.219
530.003,21,422.219
561.56,22,422.219
592.904,23,422.219
619.001,24,422.219
644.604,25,422.219
671.537,26,422.219
695.019,26,422.219
