Time_ms,Iteration,MinEnergy
0.1712,1,3.38653e+06
18.1907,2,2569.56
37.9409,3,710.98
56.0009,4,242.881
74.1265,5,201.514
112.571,6,200.81
186.993,7,158.78
258.995,8,136.387
333.308,9,130.198
406.005,10,130.198
429.73,11,114.521
456.159,12,114.521
481.491,13,114.521
508.259,14,114.521
537.949,15,114.521
565.227,16,114.521
591.094,17,114.521
622.609,18,114.521
651.597,19,114.521
682.555,20,114.521
713.838,21,114.521
745.673,22,114.521
779.019,23,114.521
818.348,24,114.521
850.047,25,114.521
882.894,26,114.521
915.612,27,114.521
945.093,28,114.521
976.288,29,114.521
1005.9,30,114.521
1029.43,31,104.332
1052.63,32,82.9327
1076.09,33,64.2732
1100.36,34,58.4403
1125.04,35,53.5084
1145.88,36,49.624
1173.13,37,45.4916
1199.18,38,40.8243
1228.33,39,35.5991
1259.2,40,30.7691
1283.97,41,30.7691
1310.25,42,30.7691
1334.63,43,30.7691
1359.33,44,30.7691
1385.26,45,30.7691
1409.74,46,30.7691
1435.04,47,30.7691
1460.06,48,30.7691
1483.86,49,30.7691
1508.23,50,30.7691
1533.66,51,28.1854
1557.85,52,27.1971
1582.4,53,24.5474
1607.08,54,23.7363
1636.38,55,23.7363
1668.47,56,23.7363
1696.64,57,23.7363
1724.21,58,23.7363
1751.17,59,23.7363
1787.86,60,23.7363
1824.99,61,23.7363
1853.52,62,23.7363
1879.83,63,23.7363
1905.59,64,23.7363
1930.07,65,23.7363
1955.06,66,23.7363
1980.2,67,23.7363
2007.73,68,23.7363
2032.93,69,23.7363
2059.2,70,23.7363
2079,71,23.7363
2099.81,72,23.7363
2121.42,73,23.7363
2141.59,74,23.7363
2161.25,74,23.7363
