Time_ms,Iteration,MinEnergy
0.3116,1,1.85974e+07
24.9407,2,614763
48.4022,3,68683.1
72.9965,4,4590.01
98.3836,5,4589.04
125.553,6,4589.04
159.7,7,722.529
191.117,8,335.864
222.821,9,64.8913
254.399,10,64.8913
286.881,11,64.8913
319.923,12,64.8913
351.851,13,64.8913
382.779,14,64.8913
418.007,15,64.8913
450.201,16,64.8913
480.946,17,64.8913
514.495,18,64.8913
544.671,19,64.8913
573.813,20,64.8913
607.561,21,64.8913
637.608,22,64.8913
671.139,23,64.8913
707.177,24,64.8913
740.726,25,64.8913
787.183,26,64.8913
818.662,27,64.8913
849.774,28,64.8913
880.821,29,64.8913
910.743,30,64.8913
942.742,31,64.8913
971.65,32,64.8913
1001.37,33,64.8913
1029.6,34,64.8913
1058.52,35,64.8913
1087.29,36,64.8913
1114.19,37,64.8913
1146.34,37,64.8913
